Study,Year,PMID,Size,OR,CI.l,CI.u,%.Shock,Outcome,Population,Aby.adequate,OR.type,Comments
Ascuntar,2020,32337048,179,0.75,0.26,2.14,0.073,HM,Shock,,Dichotomous,varying shock definitions
Ascuntar,2020,32337048,2454,1.03,0.63,1.7,0.073,HM,Either,,Dichotomous,
Ascuntar,2020,32337048,2454,0.86,0.5,1.46,0.073,HM,Either,Yes,Dichotomous,
Bloos,2014,24589043,1011,0.81,0.54,1.23,0.764,28 Day ,Either,,Dichotomous,
Bloos,2014,24589043,1011,0.69,0.5,0.95,0.764,28 Day ,Either,Yes,Dichotomous,
Gaieski,2011,20048677,261,0.51,0.21,1.22,0.52,HM,Either,,Dichotomous,
Gaieski,2011,20048677,261,0.3,0.11,0.83,0.52,HM,Either,Yes,Dichotomous,
Kashiouris,2019,31343474,3307,0.87,0.46,1.66,1,28 day ,Shock,,Dichotomous_interval,varying shock definitions
Kashiouris,2019,31343474,4429,1.03,0.75,1.43,0.746,28 day ,All,,Dichotomous_interval,
Kashiouris,2019,31343474,4429,0.86,0.5,1.46,0.746,28 day ,All,Yes,Dichotomous_interval,
Ko,2006,16625125,2250,0.8,0.68,0.95,1,HM,Shock,,Dichotomous,
Ko,2006,16625125,2250,0.79,0.66,0.94,1,HM,Shock,Yes,Dichotomous,
Kumar,2019,31622578,2154,0.6,0.4,0.89,1,HM,Shock,,Dichotomous,
Kumar,2019,31622578,2154,0.6,0.4,0.89,1,HM,Shock,Yes,Dichotomous,
Liu,2017,28345952,12122,0.92,0.88,0.95,0.13,HM,All,,Continuous,
Liu,2017,28345952,4668,0.88,0.81,0.94,0.13,HM,Shock,,Continuous,
Liu,2017,28345952,18210,0.93,0.94,0.99,0,HM,Severe,,Continuous,
Liu,2017,28345952,12122,0.92,0.76,1,0,HM,Nonsevere,,Continuous,
Liu,2017,28345952,35000,0.93,0.86,0.99,0.13,HM,All,Yes,Continuous,
Puskarich,2011,21572327,291,0.55,0.23,1.35,1,HM,Shock,Yes,Dichotomous,
Ryoo,2015,25651372,426,0.81,0.45,1.45,1,28 Day ,Shock,,Dichotomous,
Seymour,2017,28528569,49331,0.96,0.94,0.97,0.452,HM,Either,,Continuous,
Seymour,2017,28528569,22336,0.68,0.4167,1.12,0.452,HM,Shock,,Continuous,
Whiles,2017,28169944,3929,0.95,0.93,0.97,0,HM,Severe,,Continuous,
Whiles,2017,28169944,3929,0.94,0.93,0.95,0,HM,Severe,Yes,Continuous,
Yokota,2014,25375775,1279,0.771,0.589,1.01,0.693,HM,Either,,Dichotomous,
Yokota,2014,25375775,1279,0.524,0.317,0.867,0.693,HM,Either,Yes,Dichotomous,
